source,feature,metabolite,labeling,sample_name,value,sample
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0217_SQ1_1h,0.0236516720868511,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0217_SQ1_1h,0.0136521109562926,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0217_SQ1_1h,0.0314401634808708,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0217_SQ1_1h,0.086940676475981,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0217_SQ1_1h,0,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0217_SQ1_1h,0.270598237963138,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0217_SQ2_1h,0.0805852252706566,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0217_SQ2_1h,0.0713145116417032,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0217_SQ2_1h,0.0189329102766043,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0217_SQ2_1h,0.00569117036975402,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0217_SQ2_1h,0.0121888781599274,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0217_SQ2_1h,0.0121137989581967,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0217_SQ2_1h,0.00559791577811214,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0217_SQ2_1h,0.0198525493014551,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0217_SQ2_1h,0.0479861633427437,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0217_SQ2_1h,0.104793825541942,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0217_SQ2_1h,0.224731406449666,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0217_SQ3_1h,0.112067329186631,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0217_SQ3_1h,0.0869856874975314,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0217_SQ3_1h,0.0238638024869327,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0217_SQ3_1h,0.00541968387615126,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0217_SQ3_1h,0.0174862592175872,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0217_SQ3_1h,0.017080825274433,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0217_SQ3_1h,0.00347492083953109,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0217_SQ3_1h,0.0219587602798804,PDX
MP4A_PDX_P3,CITRATE_M2,CITRATE,M2,MP4aP3_AB0217_SQ3_1h,0.0670147002577904,PDX
MP4A_PDX_P3,3PG_M3,3PG,M3,MP4aP3_AB0217_SQ3_1h,0.107500570507663,PDX
MP4A_PDX_P3,GLUCOSE_M6,GLUCOSE,M6,MP4aP3_AB0217_SQ3_1h,0.223326471790488,PDX
MP4A_PDX_P3,PYRUVATE_M3,PYRUVATE,M3,MP4aP3_AB0219_SQ1_1h,0.174540423914851,PDX
MP4A_PDX_P3,LACTATE_M3,LACTATE,M3,MP4aP3_AB0219_SQ1_1h,0.12739150448096,PDX
MP4A_PDX_P3,ALANINE_M3,ALANINE,M3,MP4aP3_AB0219_SQ1_1h,0.0399609354849247,PDX
MP4A_PDX_P3,SUCCINATE_M2,SUCCINATE,M2,MP4aP3_AB0219_SQ1_1h,0.0144071532224138,PDX
MP4A_PDX_P3,FUMARATE_M2,FUMARATE,M2,MP4aP3_AB0219_SQ1_1h,0.0189891167999494,PDX
MP4A_PDX_P3,MALATE_M2,MALATE,M2,MP4aP3_AB0219_SQ1_1h,0.0309870739211742,PDX
MP4A_PDX_P3,ASPARTATE_M2,ASPARTATE,M2,MP4aP3_AB0219_SQ1_1h,0.0155040222408715,PDX
MP4A_PDX_P3,GLUTAMATE_M2,GLUTAMATE,M2,MP4aP3_AB0219_SQ1_1h,0.0427491346423838,PDX
